title	link	original_name_and_year	country and genre	
Друзья: Воссоединение	https://www.kinopoisk.ru/level/1/film/1346686/	Friends Reunion Special (2021) 104 мин.	"
         США,
         реж. Бен Уинстон
         (комедия)
      "	
Побег из Шоушенка	https://www.kinopoisk.ru/level/1/film/326/	The Shawshank Redemption (1994) 142 мин.	"
         США,
         реж. Фрэнк Дарабонт
         (драма)
      "	
Зеленая миля	https://www.kinopoisk.ru/level/1/film/435/	The Green Mile (1999) 189 мин.	"
         США,
         реж. Фрэнк Дарабонт
         (фэнтези, драма, криминал...)
      "	
Моцарт. Рок-опера  (видео)	https://www.kinopoisk.ru/level/1/film/647823/	Mozart L'Opéra Rock (2009) 121 мин.	"
         Франция,
         реж. Оливье Даан
         (мюзикл)
      "	
Форрест Гамп	https://www.kinopoisk.ru/level/1/film/448/	Forrest Gump (1994) 142 мин.	"
         США,
         реж. Роберт Земекис
         (драма, мелодрама, комедия...)
      "	
Крестный отец: Трилогия 1901-1980  (видео)	https://www.kinopoisk.ru/level/1/film/220054/	The Godfather Trilogy: 1901-1980 (1992) 583 мин.	"
         США,
         реж. Фрэнсис Форд Коппола
         (триллер, драма, криминал)
      "	
Список Шиндлера	https://www.kinopoisk.ru/level/1/film/329/	Schindler's List (1993) 195 мин.	"
         США,
         реж. Стивен Спилберг
         (драма, биография, история...)
      "	
1+1	https://www.kinopoisk.ru/level/1/film/535341/	Intouchables (2011) 112 мин.	"
         Франция,
         реж. Оливье Накаш...
         (драма, комедия, биография)
      "	
Мать	https://www.kinopoisk.ru/level/1/film/10282/	Mayrig (1991) 157 мин.	"
         Франция,
         реж. Анри Вернёй
         (драма)
      "	
Иван Васильевич меняет профессию	https://www.kinopoisk.ru/level/1/film/42664/	 (1973) 88 мин.	"
         СССР,
         реж. Леонид Гайдай
         (фантастика, комедия, приключения)
      "	
Король Лев	https://www.kinopoisk.ru/level/1/film/2360/	The Lion King (1994) 88 мин.	"
         США,
         реж. Роджер Аллерс...
         (мультфильм, мюзикл, драма...)
      "	
Джузеппе Москати: Исцеляющая любовь  (ТВ)	https://www.kinopoisk.ru/level/1/film/392106/	Giuseppe Moscati: L'amore che guarisce (2007) 200 мин.	"
         Италия,
         реж. Джакомо Кампиотти
         (драма, биография)
      "	
Крестный отец	https://www.kinopoisk.ru/level/1/film/325/	The Godfather (1972) 175 мин.	"
         США,
         реж. Фрэнсис Форд Коппола
         (драма, криминал)
      "	
В бой идут одни «старики»	https://www.kinopoisk.ru/level/1/film/25108/	 (1973) 87 мин.	"
         СССР,
         реж. Леонид Быков
         (военный, драма, комедия)
      "	
Операция «Ы» и другие приключения Шурика	https://www.kinopoisk.ru/level/1/film/42782/	 (1965) 95 мин.	"
         СССР,
         реж. Леонид Гайдай
         (комедия, мелодрама, криминал)
      "	
Леон	https://www.kinopoisk.ru/level/1/film/389/	Léon (1994) 133 мин.	"
         Франция...
         реж. Люк Бессон
         (боевик, триллер, драма...)
      "	
Начало	https://www.kinopoisk.ru/level/1/film/447301/	Inception (2010) 148 мин.	"
         США...
         реж. Кристофер Нолан
         (фантастика, боевик, триллер...)
      "	
LEGO Супергерои Marvel: Мстители. Снова в сборе  (ТВ)	https://www.kinopoisk.ru/level/1/film/961694/	Lego Marvel Super Heroes: Avengers Reassembled (2015) 22 мин.	"
         США,
         реж. Rob Silvestri
         (мультфильм, фантастика, боевик...)
      "	
Клаус	https://www.kinopoisk.ru/level/1/film/957887/	Klaus (2019) 96 мин.	"
         Испания...
         реж. Серхио Паблос...
         (мультфильм, семейный, комедия...)
      "	
Бойцовский клуб	https://www.kinopoisk.ru/level/1/film/361/	Fight Club (1999) 139 мин.	"
         Германия...
         реж. Дэвид Финчер
         (триллер, драма, криминал)
      "	
Властелин колец: Возвращение короля	https://www.kinopoisk.ru/level/1/film/3498/	The Lord of the Rings: The Return of the King (2003) 201 мин.	"
         Новая Зеландия...
         реж. Питер Джексон
         (фэнтези, приключения, драма)
      "	
Назад в будущее	https://www.kinopoisk.ru/level/1/film/476/	Back to the Future (1985) 116 мин.	"
         США,
         реж. Роберт Земекис
         (фантастика, комедия, приключения)
      "	
Достучаться до небес	https://www.kinopoisk.ru/level/1/film/32898/	Knockin' on Heaven's Door (1997) 87 мин.	"
         Германия,
         реж. Томас Ян
         (драма, комедия, криминал)
      "	
Криминальное чтиво	https://www.kinopoisk.ru/level/1/film/342/	Pulp Fiction (1994) 154 мин.	"
         США,
         реж. Квентин Тарантино
         (триллер, комедия, криминал)
      "	
Жизнь прекрасна	https://www.kinopoisk.ru/level/1/film/381/	La vita è bella (1997) 116 мин.	"
         Италия,
         реж. Роберто Бениньи
         (военный, комедия, драма...)
      "	
Интерстеллар	https://www.kinopoisk.ru/level/1/film/258687/	Interstellar (2014) 169 мин.	"
         США...
         реж. Кристофер Нолан
         (фантастика, драма, приключения)
      "	
Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей  (ТВ)	https://www.kinopoisk.ru/level/1/film/77263/	 (1981) 154 мин.	"
         СССР,
         реж. Игорь Масленников
         (детектив, криминал, приключения)
      "	
Властелин колец: Братство Кольца	https://www.kinopoisk.ru/level/1/film/328/	The Lord of the Rings: The Fellowship of the Ring (2001) 178 мин.	"
         США...
         реж. Питер Джексон
         (фэнтези, приключения, драма)
      "	
Властелин колец: Две крепости	https://www.kinopoisk.ru/level/1/film/312/	The Lord of the Rings: The Two Towers (2002) 179 мин.	"
         Новая Зеландия...
         реж. Питер Джексон
         (фэнтези, приключения, драма)
      "	
Гладиатор	https://www.kinopoisk.ru/level/1/film/474/	Gladiator (2000) 155 мин.	"
         США...
         реж. Ридли Скотт
         (боевик, история, драма...)
      "	
Шерлок Холмс и доктор Ватсон: Знакомство  (ТВ)	https://www.kinopoisk.ru/level/1/film/77269/	 (1979) 68 мин.	"
         СССР,
         реж. Игорь Масленников
         (криминал, детектив)
      "	
Игры разума	https://www.kinopoisk.ru/level/1/film/530/	A Beautiful Mind (2001) 135 мин.	"
         США,
         реж. Рон Ховард
         (драма, биография, мелодрама)
      "	
Карты, деньги, два ствола	https://www.kinopoisk.ru/level/1/film/522/	Lock, Stock and Two Smoking Barrels (1998) 107 мин.	"
         Великобритания,
         реж. Гай Ричи
         (боевик, комедия, криминал)
      "	
Большой куш	https://www.kinopoisk.ru/level/1/film/526/	Snatch (2000) 104 мин.	"
         Великобритания...
         реж. Гай Ричи
         (криминал, комедия, боевик)
      "	
Пролетая над гнездом кукушки	https://www.kinopoisk.ru/level/1/film/336/	One Flew Over the Cuckoo's Nest (1975) 133 мин.	"
         США,
         реж. Милош Форман
         (драма)
      "	
Джентльмены удачи	https://www.kinopoisk.ru/level/1/film/44386/	 (1971) 84 мин.	"
         СССР,
         реж. Александр Серый
         (драма, комедия, криминал...)
      "	
Крестный отец 2	https://www.kinopoisk.ru/level/1/film/327/	The Godfather: Part II (1974) 202 мин.	"
         США,
         реж. Фрэнсис Форд Коппола
         (драма, криминал)
      "	
Престиж	https://www.kinopoisk.ru/level/1/film/195334/	The Prestige (2006) 125 мин.	"
         Великобритания...
         реж. Кристофер Нолан
         (фантастика, триллер, драма...)
      "	
Хороший, плохой, злой	https://www.kinopoisk.ru/level/1/film/349/	Il buono, il brutto, il cattivo (1966) 178 мин.	"
         Италия...
         реж. Серджио Леоне
         (вестерн)
      "	
12 разгневанных мужчин	https://www.kinopoisk.ru/level/1/film/346/	12 Angry Men (1956) 96 мин.	"
         США,
         реж. Сидни Люмет
         (драма, детектив, криминал)
      "	
...А зори здесь тихие	https://www.kinopoisk.ru/level/1/film/43395/	 (1972) 160 мин.	"
         СССР,
         реж. Станислав Ростоцкий
         (драма, военный, история)
      "	
Поймай меня, если сможешь	https://www.kinopoisk.ru/level/1/film/324/	Catch Me If You Can (2002) 141 мин.	"
         США...
         реж. Стивен Спилберг
         (криминал, биография, комедия)
      "	
Бриллиантовая рука	https://www.kinopoisk.ru/level/1/film/46225/	 (1968) 94 мин.	"
         СССР,
         реж. Леонид Гайдай
         (комедия, приключения, криминал...)
      "	
Темный рыцарь	https://www.kinopoisk.ru/level/1/film/111543/	The Dark Knight (2008) 152 мин.	"
         США...
         реж. Кристофер Нолан
         (фантастика, боевик, триллер...)
      "	
Огни большого города	https://www.kinopoisk.ru/level/1/film/414/	City Lights (1931) 87 мин.	"
         США,
         реж. Чарльз Чаплин
         (комедия, мелодрама, драма)
      "	
Остров проклятых	https://www.kinopoisk.ru/level/1/film/397667/	Shutter Island (2009) 138 мин.	"
         США,
         реж. Мартин Скорсезе
         (триллер, детектив, драма)
      "	
Матрица	https://www.kinopoisk.ru/level/1/film/301/	The Matrix (1999) 136 мин.	"
         США,
         реж. Лана Вачовски...
         (фантастика, боевик)
      "	
Джентльмены	https://www.kinopoisk.ru/level/1/film/1143242/	The Gentlemen (2019) 113 мин.	"
         Великобритания...
         реж. Гай Ричи
         (криминал, комедия, боевик)
      "	
И в печали, и в радости...	https://www.kinopoisk.ru/level/1/film/64595/	Kabhi Khushi Kabhie Gham... (2001) 210 мин.	"
         Индия,
         реж. Каран Джохар
         (мюзикл, драма, мелодрама)
      "	
Офицеры	https://www.kinopoisk.ru/level/1/film/42736/	 (1971) 91 мин.	"
         СССР,
         реж. Владимир Роговой
         (драма, военный, мелодрама)
      "	
Кавказская пленница, или Новые приключения Шурика	https://www.kinopoisk.ru/level/1/film/44745/	 (1966) 82 мин.	"
         СССР,
         реж. Леонид Гайдай
         (комедия, приключения, мелодрама...)
      "	
Отступники	https://www.kinopoisk.ru/level/1/film/81314/	The Departed (2006) 151 мин.	"
         США,
         реж. Мартин Скорсезе
         (триллер, драма, криминал)
      "	
Запах женщины	https://www.kinopoisk.ru/level/1/film/4871/	Scent of a Woman (1992) 156 мин.	"
         США,
         реж. Мартин Брест
         (драма)
      "	
Унесённые призраками	https://www.kinopoisk.ru/level/1/film/370/	Sen to Chihiro no kamikakushi (2001) 125 мин.	"
         Япония,
         реж. Хаяо Миядзаки
         (аниме, мультфильм, фэнтези...)
      "	
Эта замечательная жизнь	https://www.kinopoisk.ru/level/1/film/348/	It's a Wonderful Life (1947) 130 мин.	"
         США,
         реж. Фрэнк Капра
         (фэнтези, драма, семейный)
      "	
Пробуждение	https://www.kinopoisk.ru/level/1/film/2950/	Awakenings (1990) 121 мин.	"
         США,
         реж. Пенни Маршалл
         (драма, биография)
      "	
Шерлок Холмс и доктор Ватсон: Смертельная схватка  (ТВ)	https://www.kinopoisk.ru/level/1/film/354799/	 (1980) 64 мин.	"
         СССР,
         реж. Игорь Масленников
         (криминал, детектив)
      "	
Шерлок Холмс и доктор Ватсон: Кровавая надпись  (ТВ)	https://www.kinopoisk.ru/level/1/film/77265/	 (1979) 66 мин.	"
         СССР,
         реж. Игорь Масленников
         (криминал, детектив)
      "	
Они сражались за Родину	https://www.kinopoisk.ru/level/1/film/42770/	 (1975) 160 мин.	"
         СССР,
         реж. Сергей Бондарчук
         (драма, военный)
      "	
Все в жизни бывает	https://www.kinopoisk.ru/level/1/film/68242/	Kuch Kuch Hota Hai (1998) 177 мин.	"
         Индия,
         реж. Каран Джохар
         (мюзикл, драма, мелодрама...)
      "	
Про Федота-стрельца, удалого молодца  (ТВ)	https://www.kinopoisk.ru/level/1/film/255030/	 (1988) 56 мин.	"
         СССР,
         реж. Зинаида Алиева
         (комедия)
      "	
Укрощение строптивого	https://www.kinopoisk.ru/level/1/film/63912/	Il bisbetico domato (1980) 107 мин.	"
         Италия,
         реж. Франко Кастеллано...
         (мелодрама, комедия)
      "	
Москва слезам не верит	https://www.kinopoisk.ru/level/1/film/46708/	 (1979) 150 мин.	"
         СССР,
         реж. Владимир Меньшов
         (драма, мелодрама, комедия)
      "	
Вир и Зара	https://www.kinopoisk.ru/level/1/film/81492/	Veer-Zaara (2004) 192 мин.	"
         Индия,
         реж. Яш Чопра
         (мюзикл, драма, мелодрама...)
      "	
Унесенные ветром	https://www.kinopoisk.ru/level/1/film/456/	Gone with the Wind (1939) 222 мин.	"
         США,
         реж. Виктор Флеминг...
         (мелодрама, история, драма...)
      "	
Непохищенная невеста	https://www.kinopoisk.ru/level/1/film/62652/	Dilwale Dulhania Le Jayenge (1995) 189 мин.	"
         Индия,
         реж. Адитья Чопра
         (драма, мелодрама)
      "	
Сотворившая чудо	https://www.kinopoisk.ru/level/1/film/15111/	The Miracle Worker (1962) 106 мин.	"
         США,
         реж. Артур Пенн
         (драма, биография)
      "	
Судьба человека	https://www.kinopoisk.ru/level/1/film/44027/	 (1959) 97 мин.	"
         СССР,
         реж. Сергей Бондарчук
         (драма, военный)
      "	
