title;link;original_name_and_year;Country and genre
Побег из Шоушенка;https://www.kinopoisk.ru/film/326/;Shawshank Redemption, 1994;СШАдрама
Зеленая миля;https://www.kinopoisk.ru/film/435/;Green Mile, 1999;СШАфэнтези, драма
Властелин колец: Возвращение короля;https://www.kinopoisk.ru/film/3498/;Lord of the Rings: The Return of the King, 2003;Новая Зеландия, СШАфэнтези, приключения
Интерстеллар;https://www.kinopoisk.ru/film/258687/;Interstellar, 2014;США, Великобританияфантастика, драма
Властелин колец: Две крепости;https://www.kinopoisk.ru/film/312/;Lord of the Rings: The Two Towers, 2002;Новая Зеландия, СШАфэнтези, приключения
Властелин колец: Братство Кольца;https://www.kinopoisk.ru/film/328/;Lord of the Rings: The Fellowship of the Ring, 2001;США, Новая Зеландияфэнтези, приключения
Список Шиндлера;https://www.kinopoisk.ru/film/329/;Schindler's List, 1993;СШАдрама, биография
Форрест Гамп;https://www.kinopoisk.ru/film/448/;Forrest Gump, 1994;СШАдрама, мелодрама
Иван Васильевич меняет профессию;https://www.kinopoisk.ru/film/42664/;1973;СССРфантастика, комедия
Король Лев;https://www.kinopoisk.ru/film/2360/;Lion King, 1994;СШАмультфильм, мюзикл
Тайна Коко;https://www.kinopoisk.ru/film/679486/;Coco, 2017;СШАмультфильм, фэнтези
Клаус;https://www.kinopoisk.ru/film/957887/;Klaus, 2019;Испания, Великобританиямультфильм, семейный
Назад в будущее;https://www.kinopoisk.ru/film/476/;Back to the Future, 1985;СШАфантастика, комедия
В бой идут одни «старики»;https://www.kinopoisk.ru/film/25108/;1973;СССРвоенный, драма
Криминальное чтиво;https://www.kinopoisk.ru/film/342/;Pulp Fiction, 1994;СШАтриллер, комедия
1+1;https://www.kinopoisk.ru/film/535341/;Intouchables, 2011;Франциядрама, комедия
Карты, деньги, два ствола;https://www.kinopoisk.ru/film/522/;Lock, Stock and Two Smoking Barrels, 1998;Великобританиябоевик, комедия
Начало;https://www.kinopoisk.ru/film/447301/;Inception, 2010;США, Великобританияфантастика, боевик
ВАЛЛ·И;https://www.kinopoisk.ru/film/279102/;WALL·E, 2008;СШАмультфильм, фантастика
Унесённые призраками;https://www.kinopoisk.ru/film/370/;Sen to Chihiro no kamikakushi, 2001;Японияаниме, мультфильм
Операция «Ы» и другие приключения Шурика;https://www.kinopoisk.ru/film/42782/;1965;СССРкомедия, мелодрама
Большой куш;https://www.kinopoisk.ru/film/526/;Snatch, 2000;Великобритания, СШАкриминал, комедия
Джентльмены удачи;https://www.kinopoisk.ru/film/44386/;1971;СССРдрама, комедия
Остров проклятых;https://www.kinopoisk.ru/film/397667/;Shutter Island, 2009;СШАтриллер, детектив
Достучаться до небес;https://www.kinopoisk.ru/film/32898/;Knockin' on Heaven's Door, 1997;Германиядрама, комедия
Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей;https://www.kinopoisk.ru/film/77263/;1981;СССРдетектив, криминал
Бойцовский клуб;https://www.kinopoisk.ru/film/361/;Fight Club, 1999;Германия, СШАтриллер, драма
12 разгневанных мужчин;https://www.kinopoisk.ru/film/346/;12 Angry Men, 1956;СШАдрама, детектив
Престиж;https://www.kinopoisk.ru/film/195334/;Prestige, 2006;Великобритания, СШАфантастика, триллер
Матрица;https://www.kinopoisk.ru/film/301/;Matrix, 1999;СШАфантастика, боевик
Джентльмены;https://www.kinopoisk.ru/film/1143242/;Gentlemen, 2019;Великобритания, СШАкриминал, комедия
...А зори здесь тихие;https://www.kinopoisk.ru/film/43395/;1972;СССРдрама, военный
Шрэк;https://www.kinopoisk.ru/film/430/;Shrek, 2001;СШАмультфильм, фэнтези
Брат;https://www.kinopoisk.ru/film/41519/;1997;Россиябоевик, драма
Леон;https://www.kinopoisk.ru/film/389/;Léon, 1994;Франция, СШАбоевик, триллер
Москва слезам не верит;https://www.kinopoisk.ru/film/46708/;1979;СССРдрама, мелодрама
Темный рыцарь;https://www.kinopoisk.ru/film/111543/;Dark Knight, 2008;США, Великобританияфантастика, боевик
Джанго освобожденный;https://www.kinopoisk.ru/film/586397/;Django Unchained, 2012;СШАвестерн, боевик
Один дома;https://www.kinopoisk.ru/film/8124/;Home Alone, 1990;СШАкомедия, семейный
Игры разума;https://www.kinopoisk.ru/film/530/;A Beautiful Mind, 2001;СШАдрама, биография
Пираты Карибского моря: Проклятие Черной жемчужины;https://www.kinopoisk.ru/film/4374/;Pirates of the Caribbean: The Curse of the Black Pearl, 2003;СШАфэнтези, боевик
Одержимость;https://www.kinopoisk.ru/film/725190/;Whiplash, 2013;СШАдрама, музыка
Терминатор 2: Судный день;https://www.kinopoisk.ru/film/444/;Terminator 2: Judgment Day, 1991;США, Францияфантастика, боевик
Гладиатор;https://www.kinopoisk.ru/film/474/;Gladiator, 2000;США, Великобританиябоевик, история
Гарри Поттер и узник Азкабана;https://www.kinopoisk.ru/film/322/;Harry Potter and the Prisoner of Azkaban, 2004;Великобритания, СШАфэнтези, приключения
Остров сокровищ;https://www.kinopoisk.ru/film/573759/;1988;СССРмультфильм, приключения
Гарри Поттер и философский камень;https://www.kinopoisk.ru/film/689/;Harry Potter and the Sorcerer's Stone, 2001;Великобритания, СШАфэнтези, приключения
